config,fold,accuracy,macro_precision,macro_recall,macro_f1,macro_auc,test_loss
LSTM512,1,0.9866071343421936,0.9905298155298154,0.9893162393162394,0.9895469673643957,0.9999518442350352,0.054495539516210556
LSTM512,2,0.9910714030265808,0.9944980694980694,0.9930555555555556,0.9936294514218486,0.999980736631222,0.022816192358732224
LSTM512,3,0.9821428656578064,0.9787445887445888,0.975453514739229,0.9760004678972266,0.9996147326244413,0.06571681797504425
LSTM512,4,0.9776785969734192,0.970655806182122,0.9692765567765569,0.9674787282040711,0.9961052540282168,0.09011213481426239
LSTM512,5,0.9506726264953613,0.9389994380125959,0.9387827858416095,0.9364797171542883,0.9988224625664299,0.15400616824626923
